cat,query,relations,entities
Basic-distance Query,How many nautical miles from Tangermünde to Spreewaldplatz?,[],"['Tangermünde', 'Spreewaldplatz']"
Basic-distance Query,How many miles is it from B101: Berlin - Jüterbog to Märkisches Museum?,[],"['B101: Berlin - Jüterbog', 'Märkisches Museum']"
Basic-length Query,How long is the vibrant Nackel - Wildberg in Landstrassen2?,['Landstrassen2'],['Nackel - Wildberg']
Basic-length Query,Can you enlighten me about the length of Landstrassen2's B196a?,['Landstrassen2'],['B196a']
Basic-length Query,Could you provide the length of Wasserumland2's Gobenowsee?,['Wasserumland2'],['Gobenowsee']
Basic-length Query,Can you provide the exact length of Nangao East Road?,[],['Nangao East Road']
Basic-length Query,I'm wondering about the overall length of 13593 in PLZBoundaries.,['PLZBoundaries'],['13593']
Basic-length Query,Can you tell me the distance of 12101 in PLZBoundaries?,['PLZBoundaries'],['12101']
Basic-length Query,Can you provide insights into the length of Wasserumland2's Barther Bodden?,['Wasserumland2'],['Barther Bodden']
Basic-length Query,What's the extent of PLZBoundaries's 13505?,['PLZBoundaries'],['13505']
Basic-length Query,How long is the winding Stahlbrode - Losentitz in Faehren?,['Faehren'],['Stahlbrode - Losentitz']
Basic-length Query,Provide the extent of RBahn's RB12.,['RBahn'],['RB12']
Basic-length Query,Display all Fanmuzhiling East Road that are 25 kilometers or longer.,[],['Fanmuzhiling East Road']
Distance Join Query,Provide a list of SBahnhof that are within 4 kilometers of each PLZBoundaries.,"['SBahnhof', 'PLZBoundaries']",[]
Distance Join Query,"Which Flaechen can be found within close proximity to each WFlaechen, within a 2 kilometer radius?","['Flaechen', 'WFlaechen']",[]
Distance Join Query,Can you recommend any UBahn within 4 kilometers of each Flaechen?,"['UBahn', 'Flaechen']",[]
Distance Join Query,What Landstrassen2 are within 5 kilometer of each road?,"['Landstrassen2', 'road']",[]
Distance Join Query,What Sehenswuerdreg are situated within 4 kilometer of each Sehenswuerdpoi?,"['Sehenswuerdreg', 'Sehenswuerdpoi']",[]
Distance Join Query,List Sehenswuerdreg within 2 kilometers of each WFlaechen.,"['Sehenswuerdreg', 'WFlaechen']",[]
Distance Join Query,"Find the closest Sehenswuerdpoi to each Sehenswuerdpoi2, considering a maximum distance of 5 miles.","['Sehenswuerdpoi', 'Sehenswuerdpoi2']",[]
Distance Join Query,What is the distance from Reuterstr. (Neukölln) to Havel in WFlaechen.,['WFlaechen'],"['Reuterstr. (Neukölln)', 'Havel']"
Distance Join Query,What WFlaechen are situated within 3 kilometer of each Restaurants?,"['WFlaechen', 'Restaurants']",[]
Distance Join Query,Can you recommend any OrteCity within 1 kilometer of each WFlaechen?,"['OrteCity', 'WFlaechen']",[]
Distance Join Query,Locate the WFlaechen that are within a 2 - mile radius of each Flaechen.,"['WFlaechen', 'Flaechen']",[]
Distance Join Query,What WFlaechen are situated within 4 kilometer of each UBahn?,"['WFlaechen', 'UBahn']",[]
Nearest Neighbor Query,Select the nearest line in Faehren to Planetarium.,['Faehren'],['Planetarium']
Nearest Neighbor Query,What are the 5 nearest Flaechen to Zitadelle Spandau?,['Flaechen'],['Zitadelle Spandau']
Nearest Neighbor Query,Show me the 3 closest SBahn to Kleiner Kuhwall.,['SBahn'],['Kleiner Kuhwall']
Nearest Neighbor Query,Which are the 4 Plaetze closest to Waldschulallee?,['Plaetze'],['Waldschulallee']
Nearest Neighbor Query,Please find the 3 Landstrassen nearest Metzer Str. (Prenzlauer Berg).,['Landstrassen'],['Metzer Str. (Prenzlauer Berg)']
Nearest Neighbor Query,Can you recommend the 4 closest strassen to Saale?,['strassen'],['Saale']
Nearest Neighbor Query,Provide information about the 1 closest WFlaechen to Hongwu North Road.,['WFlaechen'],['Hongwu North Road']
Nearest Neighbor Query,Show me the nearest WFlaechen to Zhonghuan Road.,['WFlaechen'],['Zhonghuan Road']
Nearest Neighbor Query,Can you recommend the 1 nearest RBahn to Teltowkanal?,['RBahn'],['Teltowkanal']
Nearest Neighbor Query,Which are the 4 WStrassen closest to Qingdao Road?,['WStrassen'],['Qingdao Road']
Range Query,Tell me which Sehenswuerdreg are on Seddinsee?,['Sehenswuerdreg'],['Seddinsee']
Range Query,Retrieve all strassen within a 500 meters of Schwarzer Weg (Oberschöneweide).,['strassen'],['Schwarzer Weg (Oberschöneweide)']
Range Query,Spotlight all Wasserumland2 within a 1 - mile radius of Huate International Travel Agency.,['Wasserumland2'],['Huate International Travel Agency']
Range Query,Pinpoint all WFlaechen existing within a 4 - mile radius of Schwarzsauer.,['WFlaechen'],['Schwarzsauer']
Range Query,Uncover all Sehenswuerdpoi within a 1 - mile range of Theater des Westens.,['Sehenswuerdpoi'],['Theater des Westens']
Range Query,List all strassen positioned within a 2 - kilometer radius of this Osteria Tarantina.,['strassen'],['Osteria Tarantina']
Range Query,What Faehren pass by Dümde?,['Faehren'],['Dümde']
Range Query,I'm looking for a SBahn on Eresburgstr.. Can you help?,['SBahn'],['Eresburgstr.']
Spatial Join Query,Identify the Flaechen of Teufelssee.,['Flaechen'],['Teufelssee']
Spatial Join Query,Find the Landstrassen that are within the boundaries of Krankenhaus Am Urban.,['Landstrassen'],['Krankenhaus Am Urban']
Spatial Join Query,Which Flaechen are in each region in Sehenswuerdreg?,"['Flaechen', 'Sehenswuerdreg']",[]
Spatial Join Query,Locate the Orte2 that are situated within the boundaries of Berliner Forst Düppel.,['Orte2'],['Berliner Forst Düppel']
Spatial Join Query,Find the Landstrassen2 situated within 3 kilometers of Dammheide.,['Landstrassen2'],['Dammheide']
Spatial Join Query,Tell me which Sehenswuerdreg are the strassen located in Haus der Kulturen (Kongreßhalle).,"['Sehenswuerdreg', 'strassen']",['Haus der Kulturen (Kongreßhalle)']
Spatial Join Query,In what WFlaechen are these SBahn located?,"['WFlaechen', 'SBahn']",[]
Spatial Join Query,Which Restaurants have more than 5 point in the region whose names begin with the letter R in Flaechen?,"['Restaurants', 'Flaechen']",[]
Spatial Join Query,Identify the road that are within Volkspark Mariendorf.,['road'],['Volkspark Mariendorf']
