cat,template,type
Aggregation-count Query,How many LINE on the REGION?,1
Aggregation-count Query,How many LINE pass by LINE?,1
Aggregation-count Query,How many LINE pass by POINT?,1
Aggregation-count Query,How many LINE pass by REGION?,1
Aggregation-count Query,How many LINE runs through the LINE?,1
Aggregation-count Query,How many LINE runs through the POINT?,1
Aggregation-count Query,How many LINE runs through the REGION?,1
Aggregation-count Query,How many POINT does the LINE flow through?,1
Aggregation-count Query,How many POINT does the LINE go through?,1
Aggregation-count Query,How many POINT does the LINE run through?,1
Aggregation-count Query,How many POINT goes through the LINE?,1
Aggregation-count Query,How many POINT goes through the REGION?,1
Aggregation-count Query,How many POINT on the LINE?,1
Aggregation-count Query,How many POINT on the REGION?,1
Aggregation-count Query,How many POINT pass by LINE?,1
Aggregation-count Query,How many POINT pass by POINT?,1
Aggregation-count Query,How many POINT pass by REGION?,1
Aggregation-count Query,How many POINT pass through LINE?,1
Aggregation-count Query,How many POINT pass through REGION?,1
Aggregation-count Query,How many REGION does the LINE flow through?,1
Aggregation-count Query,How many REGION does the LINE go through?,1
Aggregation-count Query,How many REGION does the LINE run through?,1
Aggregation-count Query,How many REGION does the REGION go through?,1
Aggregation-count Query,How many REGION does the REGION run through?,1
Aggregation-count Query,How many REGION goes through the LINE?,1
Aggregation-count Query,How many REGION goes through the REGION?,1
Aggregation-count Query,How many REGION on the LINE?,1
Aggregation-count Query,How many REGION on the REGION?,1
Aggregation-count Query,How many REGION pass by LINE?,1
Aggregation-count Query,How many REGION pass by POINT?,1
Aggregation-count Query,How many REGION pass by REGION?,1
Aggregation-count Query,How many REGION pass through LINE?,1
Aggregation-count Query,How many REGION pass through REGION?,1
Aggregation-count Query,How many REGION runs through the LINE?,1
Aggregation-count Query,How many REGION runs through the REGION?,1
Aggregation-count Query,I am interested in knowing the overall number of LINE in REGION.,1
Aggregation-count Query,I am interested in knowing the overall number of POINT in REGION.,1
Aggregation-count Query,I am interested in knowing the overall number of REGION in REGION.,1
Aggregation-count Query,I am interested in the aggregate count of LINE in REGION.,1
Aggregation-count Query,I am interested in the aggregate count of POINT in REGION.,1
Aggregation-count Query,I am interested in the aggregate count of REGION in REGION.,1
Aggregation-count Query,I am interested in the count of LINE in REGION.,1
Aggregation-count Query,I am interested in the count of POINT in REGION.,1
Aggregation-count Query,I am interested in the count of REGION in REGION.,1
Aggregation-count Query,I am interested in the overall number of LINE in REGION.,1
Aggregation-count Query,I am interested in the overall number of POINT in REGION.,1
Aggregation-count Query,I am interested in the overall number of REGION in REGION.,1
Aggregation-count Query,I am looking for the count of LINE in REGION.,1
Aggregation-count Query,I am looking for the count of POINT in REGION.,1
Aggregation-count Query,I am looking for the count of REGION in REGION.,1
Aggregation-count Query,I am looking for the overall number of LINE in REGION.,1
Aggregation-count Query,I am looking for the overall number of POINT in REGION.,1
Aggregation-count Query,I am looking for the overall number of REGION in REGION.,1
Aggregation-count Query,I am looking for the total number of LINE in REGION.,1
Aggregation-count Query,I am looking for the total number of POINT in REGION.,1
Aggregation-count Query,I am looking for the total number of REGION in REGION.,1
Aggregation-count Query,I would like to know the aggregate count of LINE in REGION.,1
Aggregation-count Query,I would like to know the aggregate count of POINT in REGION.,1
Aggregation-count Query,I would like to know the aggregate count of REGION in REGION.,1
Aggregation-count Query,I would like to know the aggregate number of LINE in REGION.,1
Aggregation-count Query,I would like to know the aggregate number of POINT in REGION.,1
Aggregation-count Query,I would like to know the aggregate number of REGION in REGION.,1
Aggregation-count Query,I would like to know the count of LINE in REGION.,1
Aggregation-count Query,I would like to know the count of POINT in REGION.,1
Aggregation-count Query,I would like to know the count of REGION in REGION.,1
Aggregation-count Query,I would like to know the number of LINE in REGION.,1
Aggregation-count Query,I would like to know the number of POINT in REGION.,1
Aggregation-count Query,I would like to know the number of REGION in REGION.,1
Aggregation-count Query,I would like to know the overall number of LINE in REGION.,1
Aggregation-count Query,I would like to know the overall number of POINT in REGION.,1
Aggregation-count Query,I would like to know the overall number of REGION in REGION.,1
Aggregation-count Query,Is it possible to obtain the count of LINE in REGION?,1
Aggregation-count Query,Is it possible to obtain the count of POINT in REGION?,1
Aggregation-count Query,Is it possible to obtain the count of REGION in REGION?,1
Aggregation-count Query,Is it possible to obtain the overall count of LINE in REGION?,1
Aggregation-count Query,Is it possible to obtain the overall count of POINT in REGION?,1
Aggregation-count Query,Is it possible to obtain the overall count of REGION in REGION?,1
Aggregation-count Query,Is there a way to ascertain the total number of LINE in REGION?,1
Aggregation-count Query,Is there a way to ascertain the total number of POINT in REGION?,1
Aggregation-count Query,Is there a way to ascertain the total number of REGION in REGION?,1
Aggregation-count Query,Kindly inform me about the aggregate count of LINE in REGION.,1
Aggregation-count Query,Kindly inform me about the aggregate count of POINT in REGION.,1
Aggregation-count Query,Kindly inform me about the aggregate count of REGION in REGION.,1
Aggregation-count Query,Kindly inform me about the aggregate number of LINE in REGION.,1
Aggregation-count Query,Kindly inform me about the aggregate number of POINT in REGION.,1
Aggregation-count Query,Kindly inform me about the aggregate number of REGION in REGION.,1
Aggregation-count Query,Kindly inform me about the overall number of LINE in REGION.,1
Aggregation-count Query,Kindly inform me about the overall number of POINT in REGION.,1
Aggregation-count Query,Kindly inform me about the overall number of REGION in REGION.,1
Aggregation-count Query,Kindly inform me about the total number of LINE in REGION.,1
Aggregation-count Query,Kindly inform me about the total number of POINT in REGION.,1
Aggregation-count Query,Kindly inform me about the total number of REGION in REGION.,1
Aggregation-count Query,Kindly provide me with the count of LINE in REGION.,1
Aggregation-count Query,Kindly provide me with the count of POINT in REGION.,1
Aggregation-count Query,Kindly provide me with the count of REGION in REGION.,1
Aggregation-count Query,Kindly provide me with the overall number of LINE in REGION.,1
Aggregation-count Query,Kindly provide me with the overall number of POINT in REGION.,1
Aggregation-count Query,Kindly provide me with the overall number of REGION in REGION.,1
Aggregation-count Query,Kindly provide me with the total count of LINE in REGION.,1
Aggregation-count Query,Kindly provide me with the total count of POINT in REGION.,1
Aggregation-count Query,Kindly provide me with the total count of REGION in REGION.,1
Aggregation-count Query,List the count of LINE in REGION.,1
Aggregation-count Query,List the count of POINT in REGION.,1
Aggregation-count Query,List the count of REGION in REGION.,1
Aggregation-count Query,List the total count of LINE in REGION.,1
Aggregation-count Query,List the total count of POINT in REGION.,1
Aggregation-count Query,List the total count of REGION in REGION.,1
Aggregation-count Query,List the total number of LINE in REGION.,1
Aggregation-count Query,List the total number of POINT in REGION.,1
Aggregation-count Query,List the total number of REGION in REGION.,1
Aggregation-count Query,Please advise me on the aggregate number of LINE in REGION.,1
Aggregation-count Query,Please advise me on the aggregate number of POINT in REGION.,1
Aggregation-count Query,Please advise me on the aggregate number of REGION in REGION.,1
Aggregation-count Query,Please advise me on the count of LINE in REGION.,1
Aggregation-count Query,Please advise me on the count of POINT in REGION.,1
Aggregation-count Query,Please advise me on the count of REGION in REGION.,1
Aggregation-count Query,Please advise me on the number of LINE in REGION.,1
Aggregation-count Query,Please advise me on the number of POINT in REGION.,1
Aggregation-count Query,Please advise me on the number of REGION in REGION.,1
Aggregation-count Query,Please advise me on the total count of LINE in REGION.,1
Aggregation-count Query,Please advise me on the total count of POINT in REGION.,1
Aggregation-count Query,Please advise me on the total count of REGION in REGION.,1
Aggregation-count Query,Provide the count of LINE in REGION.,1
Aggregation-count Query,Provide the count of POINT in REGION.,1
Aggregation-count Query,Provide the count of REGION in REGION.,1
Aggregation-count Query,Provide the number of LINE in REGION.,1
Aggregation-count Query,Provide the number of POINT in REGION.,1
Aggregation-count Query,Provide the number of REGION in REGION.,1
Aggregation-count Query,What is the count of LINE in REGION?,1
Aggregation-count Query,What is the count of POINT in REGION?,1
Aggregation-count Query,What is the count of REGION in REGION?,1
Aggregation-count Query,What is the number of LINE in REGION?,1
Aggregation-count Query,What is the number of POINT in REGION?,1
Aggregation-count Query,What is the number of REGION in REGION?,1
Aggregation-count Query,What is the quantity of LINE in REGION?,1
Aggregation-count Query,What is the quantity of POINT in REGION?,1
Aggregation-count Query,What is the quantity of REGION in REGION?,1
Aggregation-count Query,What is the tally of LINE in REGION?,1
Aggregation-count Query,What is the tally of POINT in REGION?,1
Aggregation-count Query,What is the tally of REGION in REGION?,1
Aggregation-count Query,What is the total count of LINE in REGION?,1
Aggregation-count Query,What is the total count of POINT in REGION?,1
Aggregation-count Query,What is the total count of REGION in REGION?,1
Aggregation-count Query,What is the total number of LINE in REGION?,1
Aggregation-count Query,What is the total number of POINT in REGION?,1
Aggregation-count Query,What is the total number of REGION in REGION?,1
Aggregation-max Query,"Among all LINE, which one experiences the most intersections of roads?",0
Aggregation-max Query,"Among all LINE, which one has the highest stream intersection density?",0
Aggregation-max Query,"Among all REGION, which one experiences the most intersections of paths?",0
Aggregation-max Query,"Among all REGION, which one experiences the most intersections of roads?",0
Aggregation-max Query,"Among all REGION, which one has the highest concentration of road intersections?",0
Aggregation-max Query,"Among all REGION, which one has the largest number of rivers and paths crossing one another?",0
Aggregation-max Query,"Among all REGION, which one has the largest overlapping territory with REGION?",1
Aggregation-max Query,"Among all REGION, which one has the most convergence of paths?",0
Aggregation-max Query,"Among all REGION, which one has the most convergence of roads.",0
Aggregation-max Query,"Among LINE, which one has the most trails intersecting at its corners?",0
Aggregation-max Query,Among REGION which one has the most LINE converging?,2
Aggregation-max Query,"Among REGION, which one has the greatest extent of intersection with REGION?",1
Aggregation-max Query,"Among REGION, which one has the greatest extent of intersection with REGION?",1
Aggregation-max Query,"Among REGION, which one has the most extensive intersection with REGION?",1
Aggregation-max Query,"Among REGION, which one has the most LINE intersecting?",2
Aggregation-max Query,"Among REGION, which one has the most substantial extent of intersection with REGION?",1
Aggregation-max Query,In which REGION can you find the most REGION?,2
Aggregation-max Query,What REGION has the most REGION?,2
Aggregation-max Query,What REGION offers the most REGION?,2
Aggregation-max Query,Which LINE has the highest number of LINE crossing within its boundaries?,1
Aggregation-max Query,Which LINE has the most intersecting LINE?,2
Aggregation-max Query,Which LINE has the most intersection points compared to others?,0
Aggregation-max Query,Which LINE interchange experiences the highest amount of LINE intersections?,2
Aggregation-max Query,Which LINE interchange has the largest number of LINE intersecting within its boundaries?,2
Aggregation-max Query,Which LINE junction experiences the highest amount of LINE intersections?,2
Aggregation-max Query,Which LINE junction has the largest number of LINE intersecting within its boundaries?,2
Aggregation-max Query,Which POINT has the greatest number of LINE crossing through it?,2
Aggregation-max Query,Which POINT is crossed by the most number of LINE?,2
Aggregation-max Query,Which POINT is crossed by the most number of LINE?,2
Aggregation-max Query,Which REGION encompasses the largest area at the intersection of REGION?,1
Aggregation-max Query,Which REGION encompasses the largest area where REGION intersects?,1
Aggregation-max Query,Which REGION encompasses the largest area where REGION intersects?,1
Aggregation-max Query,Which REGION encompasses the most extensive area where REGION intersects?,1
Aggregation-max Query,Which REGION encounters the highest number of crossing points for LINE?,2
Aggregation-max Query,Which REGION has the greatest number of LINE meeting within its premises?,2
Aggregation-max Query,Which REGION has the greatest number of REGION?,1
Aggregation-max Query,Which REGION has the highest number of LINE crossing within its boundaries?,2
Aggregation-max Query,Which REGION has the highest number of LINE crossing within its boundaries?,2
Aggregation-max Query,Which REGION has the largest area of intersecting REGION?,1
Aggregation-max Query,Which REGION has the largest number of LINE intersecting within its boundaries?,2
Aggregation-max Query,Which REGION has the largest overlapping area with REGION?,1
Aggregation-max Query,Which REGION has the most extensive intersection with REGION?,1
Aggregation-max Query,Which REGION has the most extensive intersection with REGION?,1
Aggregation-max Query,Which REGION has the most extensive intersection with REGION?,1
Aggregation-max Query,Which REGION has the most extensive overlap with REGION?,1
Aggregation-max Query,Which REGION has the most intersecting LINE?,2
Aggregation-max Query,Which REGION has the most intersecting LINE?,2
Aggregation-max Query,Which REGION has the most intersection points compared to others?,0
Aggregation-max Query,Which REGION has the most LINE intersecting at its borders?,2
Aggregation-max Query,Which REGION has the most significant intersection with REGION?,1
Aggregation-max Query,Which REGION has the most significant intersection with REGION?,1
Aggregation-max Query,Which REGION intersects the largest area with REGION?,1
Aggregation-max Query,Which REGION intersects the largest area with REGION?,1
Aggregation-max Query,Which REGION intersects the largest territory with REGION?,1
Aggregation-max Query,Which REGION intersects the most extensive territory with REGION?,1
Aggregation-max Query,Which REGION is crossed by the most number LINE?,2
Aggregation-max Query,Which REGION is crossed by the most number of LINE?,2
Aggregation-max Query,Which REGION is crossed by the most number of LINE?,2
Aggregation-max Query,Which REGION occupies the most substantial area at the intersection of REGION?,1
Aggregation-max Query,Which REGION overlaps the largest area with REGION?,1
Aggregation-max Query,Which REGION overlaps the largest area with REGION?,1
Aggregation-max Query,Which REGION overlaps the largest territory with REGION?,1
Aggregation-max Query,Which REGION overlaps the largest territory with REGION?,1
Aggregation-max Query,Which REGION range has the most LINE crossing through it?,2
Aggregation-max Query,Which REGION range intersects the most extensive territory with REGION?,1
Aggregation-max Query,Which REGION reserve has the most significant overlap with REGION?,1
Aggregation-sum Query,Aggregate the total area covered by REGION in REGION.,1
Aggregation-sum Query,Aggregate the total number of endangered species in REGION.,0
Aggregation-sum Query,Calculate the aggregate length of all LINE in REGION.,1
Aggregation-sum Query,Calculate the combined area of all REGION in REGION.,1
Aggregation-sum Query,Calculate the sum of # in POINT.,0
Aggregation-sum Query,Calculate the sum of # in REGION.,0
Aggregation-sum Query,Calculate the sum of all # in POINT.,0
Aggregation-sum Query,Calculate the sum of all # in REGION.,0
Aggregation-sum Query,Calculate the total # in REGION.,0
Aggregation-sum Query,Calculate the total area of all REGION located within REGION.,1
Aggregation-sum Query,Calculate the total length of all LINE in REGION.,1
Aggregation-sum Query,Calculate the total REGION area in REGION.,1
Aggregation-sum Query,Can you calculate the land area of REGION in REGION?,1
Aggregation-sum Query,Can you calculate the total area of all REGION intersecting REGION Range?,1
Aggregation-sum Query,Can you calculate the water area of REGION in REGION?,1
Aggregation-sum Query,Can you give me the combined area of all REGION in REGION?,1
Aggregation-sum Query,Can you provide the aggregate area of all REGION intersecting LINE?,1
Aggregation-sum Query,Can you provide the aggregate area of all REGION intersecting REGION?,1
Aggregation-sum Query,Can you provide the aggregate land area of all # in POINT?,0
Aggregation-sum Query,Can you provide the aggregate land area of all # in REGION?,0
Aggregation-sum Query,Can you provide the aggregate land area of all REGION in REGION?,1
Aggregation-sum Query,Can you provide the combined area of all # in POINT?,0
Aggregation-sum Query,Can you provide the combined area of all # in REGION?,0
Aggregation-sum Query,Can you provide the combined area of all REGION in REGION?,1
Aggregation-sum Query,Can you provide the combined area of all REGION in REGION?,1
Aggregation-sum Query,Can you provide the combined surface area of all LINE that intersect LINE?,1
Aggregation-sum Query,Can you provide the combined surface area of all LINE that intersect REGION?,1
Aggregation-sum Query,Can you provide the combined water area of all LINE intersecting REGION?,1
Aggregation-sum Query,Can you provide the sum of # in POINT?,0
Aggregation-sum Query,Can you provide the sum of # in REGION?,0
Aggregation-sum Query,Can you provide the sum of all # exports from REGION?,0
Aggregation-sum Query,Can you provide the sum of all # production in REGION?,0
Aggregation-sum Query,Can you provide the total area of REGION in REGION?,1
Aggregation-sum Query,Can you provide the total length of all LINE in REGION?,1
Aggregation-sum Query,Can you provide the total number of # in REGION?,0
Aggregation-sum Query,Can you provide the total water area of all REGION in REGION?,1
Aggregation-sum Query,Can you tell me the aggregate area of all REGION in REGION?,1
Aggregation-sum Query,Can you tell me the combined area of all REGION in REGION?,1
Aggregation-sum Query,Can you tell me the combined water area of all REGION in REGION?,1
Aggregation-sum Query,Can you tell me the sum of all # in POINT?,0
Aggregation-sum Query,Can you tell me the sum of all # in REGION?,0
Aggregation-sum Query,Can you tell me the total # of all # in REGION?,0
Aggregation-sum Query,Can you tell me the total area covered by lakes in REGION?,0
Aggregation-sum Query,Can you tell me the total area of all REGION intersecting REGION?,1
Aggregation-sum Query,Can you tell me the total land area occupied by all REGION in REGION?,1
Aggregation-sum Query,Can you tell me the total land area of all protected forests in REGION?,0
Aggregation-sum Query,Can you tell me the total number of # in REGION?,0
Aggregation-sum Query,Compute the aggregate # in POINT.,0
Aggregation-sum Query,Compute the aggregate # in REGION.,0
Aggregation-sum Query,Compute the overall coastline length of all islands in REGION.,0
Aggregation-sum Query,Compute the sum of # in POINT.,0
Aggregation-sum Query,Compute the sum of # in REGION.,0
Aggregation-sum Query,Compute the sum of all # in POINT.,0
Aggregation-sum Query,Compute the sum of all # in REGION.,0
Aggregation-sum Query,Compute the total area of REGION in REGION.,1
Aggregation-sum Query,Find the sum of the lengths of all LINE in REGION.,1
Aggregation-sum Query,Give me the total of # from POINT.,0
Aggregation-sum Query,Give me the total of # from REGION.,0
Aggregation-sum Query,Give me the total value of # from POINT.,0
Aggregation-sum Query,Give me the total value of # from REGION.,0
Aggregation-sum Query,Give the total # in POINT.,0
Aggregation-sum Query,Give the total # in REGION.,0
Aggregation-sum Query,Give the total number of # in POINT.,0
Aggregation-sum Query,Give the total number of # in REGION.,0
Aggregation-sum Query,How much land area is shared between REGION and REGION?,1
Aggregation-sum Query,I am interested in the aggregate area of all REGION in REGION.,1
Aggregation-sum Query,I am interested in the aggregate land area of all REGION in REGION.,1
Aggregation-sum Query,I am interested in the aggregate water area of all REGION in REGION.,1
Aggregation-sum Query,I am interested in the combined area of all REGION within REGION.,1
Aggregation-sum Query,I am interested in the combined land area of all REGION within REGION.,1
Aggregation-sum Query,I am interested in the combined water area of all REGION within REGION.,1
Aggregation-sum Query,I would like to know the combined water area of all REGION in REGION.,1
Aggregation-sum Query,I would like to know the total area of all REGION in REGION.,1
Aggregation-sum Query,I would like to know the total land area covered by all REGION in REGION.,1
Aggregation-sum Query,I would like to know the total land area of all REGION in REGION.,1
Aggregation-sum Query,I would like to know the total water area covered by all REGION in REGION.,1
Aggregation-sum Query,I would like to know the total water area of all REGION in REGION.,1
Aggregation-sum Query,Identify the total REGION area in REGION.,1
Aggregation-sum Query,List the sum of # in POINT.,0
Aggregation-sum Query,List the sum of # in REGION.,0
Aggregation-sum Query,List the total area covered by REGION in REGION.,1
Aggregation-sum Query,List the total length of all LINE in REGION.,1
Aggregation-sum Query,List the total number of # in REGION.,0
Aggregation-sum Query,Please calculate the combined area of all REGION in REGION.,1
Aggregation-sum Query,Please calculate the total area of all REGION intersecting REGION.,1
Aggregation-sum Query,Please calculate the total land area covered by all REGION in REGION.,1
Aggregation-sum Query,Please determine the aggregate land area of all REGION within REGION.,1
Aggregation-sum Query,Please determine the aggregate water area of all REGION within REGION.,1
Aggregation-sum Query,Please determine the combined area of all REGION within REGION.,1
Aggregation-sum Query,Please determine the combined land area of all REGION within REGION.,1
Aggregation-sum Query,Please determine the total area of all REGION in REGION.,1
Aggregation-sum Query,Please provide the aggregate area of all REGION in REGION.,1
Aggregation-sum Query,Please provide the aggregate area of all REGION intersecting REGION.,1
Aggregation-sum Query,Please provide the total area of all REGION in REGION.,1
Aggregation-sum Query,Please provide the total area of all REGION intersecting REGION.,1
Aggregation-sum Query,Please provide the total water area of all REGION in REGION.,1
Aggregation-sum Query,Provide the sum of # in REGION.,0
Aggregation-sum Query,Provide the total number of # in REGION.,0
Aggregation-sum Query,What is the accumulated number of # in REGION?,0
Aggregation-sum Query,What is the collective length of all LINE in REGION?,1
Aggregation-sum Query,What is the combined # in REGION?,0
Aggregation-sum Query,What is the combined area of all REGION intersecting REGION?,1
Aggregation-sum Query,What is the combined extent of all REGION in REGION?,1
Aggregation-sum Query,What is the sum of # in REGION?,0
Aggregation-sum Query,What is the sum of all # in REGION?,0
Aggregation-sum Query,What is the total area covered by REGION in REGION?,1
Aggregation-sum Query,What is the total area of all REGION intersecting REGION?,1
Aggregation-sum Query,What is the total area of REGION in REGION?,1
Aggregation-sum Query,What is the total length of all LINE in REGION?,1
Aggregation-sum Query,What is the total length of LINE in REGION?,1
Aggregation-sum Query,What is the total number of REGION in REGION?,1
Aggregation-sum Query,What is the total sum of REGION in REGION?,1
Basic-area Query,Area of REGION in RERE?,1
