cat,query,relations,entities
Aggregation-count Query,Can you inform me about the number of WFlaechen in Schloß Bellevue?,['WFlaechen'],['Schloß Bellevue']
Aggregation-count Query,How many Flaechen does the Glockenblumenweg flow through?,['Flaechen'],['Glockenblumenweg']
Aggregation-count Query,Could you provide the total number of road in Finkenpark?,['road'],['Finkenpark']
Aggregation-count Query,Could you please furnish me with the total number of UBahn in Dahme?,['UBahn'],['Dahme']
Aggregation-count Query,Could you provide the total number of Sehenswuerdpoi2 in Sacrower Lanke?,['Sehenswuerdpoi2'],['Sacrower Lanke']
Aggregation-count Query,Kindly inform me about the overall number of Sehenswuerdpoi in Stadtbibliothek.,['Sehenswuerdpoi'],['Stadtbibliothek']
Aggregation-count Query,Kindly provide me with the total count of Sehenswuerdpoi2 in Badesee Arkenberge.,['Sehenswuerdpoi2'],['Badesee Arkenberge']
Aggregation-count Query,I would like to know the overall number of Kinos in Hufeisensiedlung.,['Kinos'],['Hufeisensiedlung']
Aggregation-count Query,What is the count of Landstrassen2 in Philharmonie?,['Landstrassen2'],['Philharmonie']
Aggregation-count Query,I would like to know the number of Flaechen in Archenhold-Sternwarte.,['Flaechen'],['Archenhold-Sternwarte']
Aggregation-count Query,Can you inform me about the count of Kinos in Klare Lanke?,['Kinos'],['Klare Lanke']
Aggregation-count Query,Kindly inform me about the aggregate number of Sehenswuerdpoi2 in Museum für Verkehr und Technik.,['Sehenswuerdpoi2'],['Museum für Verkehr und Technik']
Aggregation-count Query,How many RBahnhof does the Str. des Friedens (Luckenwalde) flow through?,['RBahnhof'],['Str. des Friedens (Luckenwalde)']
Aggregation-count Query,Could you please inform me about the aggregate number of Kinos in Europa-Center?,['Kinos'],['Europa-Center']
Aggregation-count Query,What is the total count of RBahn in Der Obersee?,['RBahn'],['Der Obersee']
Aggregation-count Query,How many Sehenswuerdreg does the RE3 go through?,['Sehenswuerdreg'],['RE3']
Aggregation-count Query,How many Flaechen pass by Messelpark?,['Flaechen'],['Messelpark']
Aggregation-count Query,Can you inform me about the count of WFlaechen in each region of Sehenswuerdreg?,"['WFlaechen', 'Sehenswuerdreg']",[]
Aggregation-count Query,Could you enumerate the number of Orte2 in Jungfernheideteich?,['Orte2'],['Jungfernheideteich']
Aggregation-count Query,Could you please enumerate the number of Landstrassen in SEZ?,['Landstrassen'],['SEZ']
Aggregation-count Query,What is the total count of SBahn in Bosepark?,['SBahn'],['Bosepark']
Aggregation-count Query,Kindly provide me with the count of Kinos in Baerwaldstr..,['Kinos'],['Baerwaldstr.']
Aggregation-count Query,Could you give me the total number of RBahn in Sowjetisches Ehrenmal (Treptower Park)?,['RBahn'],['Sowjetisches Ehrenmal (Treptower Park)']
Aggregation-count Query,Kindly provide me with the overall number of WFlaechen in Pichelssee.,['WFlaechen'],['Pichelssee']
Aggregation-count Query,Could you give me the total number of Sehenswuerdpoi2 in Berliner Stadtforst Köpenick?,['Sehenswuerdpoi2'],['Berliner Stadtforst Köpenick']
Aggregation-count Query,List the total number of Wasserumland2 in Freizeit- und Erholungszentrum (FEZ).,['Wasserumland2'],['Freizeit- und Erholungszentrum (FEZ)']
Aggregation-count Query,Could you tell me the count of Flaechen in Jürgenlanke?,['Flaechen'],['Jürgenlanke']
Aggregation-count Query,How many Flaechen goes through the Die Banke?,['Flaechen'],['Die Banke']
Aggregation-count Query,Can you provide the count of WFlaechen in Schlachtensee?,['WFlaechen'],['Schlachtensee']
Aggregation-count Query,I would like to know the count of Landstrassen in Ernst-Thälmann-Park.,['Landstrassen'],['Ernst-Thälmann-Park']
Aggregation-count Query,I am interested in the aggregate count of Sehenswuerdpoi2 in Dahme.,['Sehenswuerdpoi2'],['Dahme']
Aggregation-count Query,Kindly provide me with the overall number of WFlaechen in Fennsee.,['WFlaechen'],['Fennsee']
Aggregation-count Query,Could you inform me about the number of Plaetze in Habermannsee?,['Plaetze'],['Habermannsee']
Aggregation-count Query,Could you enumerate the number of Sehenswuerdreg in Palast der Republik?,['Sehenswuerdreg'],['Palast der Republik']
Aggregation-count Query,How many Flaechen does the RE3 run through?,['Flaechen'],['RE3']
Aggregation-count Query,Could you please tell me the count of WFlaechen in Preußenpark?,['WFlaechen'],['Preußenpark']
Aggregation-count Query,What is the tally of strassen in Eisenbahn-Markthalle?,['strassen'],['Eisenbahn-Markthalle']
Aggregation-count Query,Calculate the number of point in Restaurants.,['Restaurants'],[]
Aggregation-count Query,Could you inform me about the quantity of Sehenswuerdpoi in Messelpark?,['Sehenswuerdpoi'],['Messelpark']
Aggregation-count Query,Count the number of Sehenswuerdreg in Thielpark.,['Sehenswuerdreg'],['Thielpark']
Aggregation-count Query,How many OrteCity pass through Schloßpark Lichterfelde?,['OrteCity'],['Schloßpark Lichterfelde']
Aggregation-count Query,Please advise me on the count of Restaurants in Wuhlheide (Volkspark und FEZ).,['Restaurants'],['Wuhlheide (Volkspark und FEZ)']
Aggregation-count Query,What is the count of WFlaechen in Charité-Krankenhaus?,['WFlaechen'],['Charité-Krankenhaus']
Aggregation-count Query,Can you provide the number of WFlaechen in DRK-Klinikum Westend?,['WFlaechen'],['DRK-Klinikum Westend']
Aggregation-count Query,Is it possible to obtain the count of Faehren in Volkspark Humboldthain?,['Faehren'],['Volkspark Humboldthain']
Aggregation-count Query,Can you provide the number of WStrassen in Museum für Verkehr und Technik?,['WStrassen'],['Museum für Verkehr und Technik']
Aggregation-count Query,Can you tell me the number of RBahnhof in Französischer Dom?,['RBahnhof'],['Französischer Dom']
Aggregation-count Query,I am interested in the aggregate count of Flaechen in Landschaftspark Wuhletal.,['Flaechen'],['Landschaftspark Wuhletal']
Aggregation-count Query,Please advise me on the number of UBahn in Koenigssee.,['UBahn'],['Koenigssee']
Aggregation-count Query,Could you please enumerate the number of Orte2 in SEZ?,['Orte2'],['SEZ']
Aggregation-count Query,List the total count of WStrassen in Waldbühne.,['WStrassen'],['Waldbühne']
Aggregation-count Query,Could you give me the total number of WStrassen in Schmöckwitzer Werder?,['WStrassen'],['Schmöckwitzer Werder']
Aggregation-count Query,Could you provide the number of Landstrassen in Thomashöhe?,['Landstrassen'],['Thomashöhe']
Aggregation-count Query,How many Sehenswuerdreg pass by Teltowkanal?,['Sehenswuerdreg'],['Teltowkanal']
Aggregation-count Query,How many SBahn flows through the Wuhlebecken?,['SBahn'],['Wuhlebecken']
Aggregation-count Query,Provide the count of Plaetze in Kleiner Kuhwall.,['Plaetze'],['Kleiner Kuhwall']
Aggregation-count Query,Could you tell me the count of WFlaechen in Hochmeisterplatz?,['WFlaechen'],['Hochmeisterplatz']
Aggregation-count Query,I am interested in the aggregate count of UBahnhof in Schloß Glienicke.,['UBahnhof'],['Schloß Glienicke']
Aggregation-count Query,Can you inform me about the number of WFlaechen in Barssee?,['WFlaechen'],['Barssee']
Aggregation-count Query,How many WFlaechen does the An der Rudower Höhe flow through?,['WFlaechen'],['An der Rudower Höhe']
Aggregation-count Query,How many Sehenswuerdreg on the Universitätsklinikum Rudolf Virchow?,['Sehenswuerdreg'],['Universitätsklinikum Rudolf Virchow']
Aggregation-count Query,Can you inform me about the count of SBahnhof in each region of Sehenswuerdreg?,"['SBahnhof', 'Sehenswuerdreg']",[]
Aggregation-count Query,Please advise me on the count of SBahnhof in NSG.,['SBahnhof'],['NSG']
Aggregation-count Query,What is the quantity of SBahn in Zitadelle?,['SBahn'],['Zitadelle']
Aggregation-count Query,Provide the count of SBahnhof in Spree.,['SBahnhof'],['Spree']
Aggregation-count Query,Could you inform me about the count of Sehenswuerdpoi2 in Schloß Bellevue?,['Sehenswuerdpoi2'],['Schloß Bellevue']
Aggregation-count Query,Kindly inform me about the aggregate count of Orte2 in DRK-Klinikum Westend.,['Orte2'],['DRK-Klinikum Westend']
Aggregation-count Query,How many Kneipen does the Kölpinsee go through?,['Kneipen'],['Kölpinsee']
Aggregation-count Query,Please advise me on the aggregate number of SBahn in Kleiner Müggelsee.,['SBahn'],['Kleiner Müggelsee']
Aggregation-count Query,Could you please provide me with the total count of Kneipen in Palast der Republik?,['Kneipen'],['Palast der Republik']
Aggregation-count Query,Count the number of Landstrassen2 in Koenigssee.,['Landstrassen2'],['Koenigssee']
Aggregation-count Query,Could you provide the count of poi in Rathaus Charlottenburg?,['poi'],['Rathaus Charlottenburg']
Aggregation-count Query,Could you please enumerate the number of WFlaechen in Alter Spreearm?,['WFlaechen'],['Alter Spreearm']
Aggregation-count Query,Could you inform me about the total number of Kinos in Malchower See?,['Kinos'],['Malchower See']
Aggregation-count Query,I am interested in the aggregate count of SBahnhof in Renaissance-Theater.,['SBahnhof'],['Renaissance-Theater']
Aggregation-count Query,Could you please advise me on the total count of OrteCity in St.-Josef-Krankenhaus?,['OrteCity'],['St.-Josef-Krankenhaus']
Aggregation-count Query,Could you tell me the count of road in Max-Schmelling-Halle?,['road'],['Max-Schmelling-Halle']
Aggregation-count Query,I would like to know the aggregate count of Kinos in Ägyptisches Museum.,['Kinos'],['Ägyptisches Museum']
Aggregation-count Query,Could you inform me about the count of Landstrassen2 in Abtei Zenner?,['Landstrassen2'],['Abtei Zenner']
Aggregation-count Query,How many Plaetze on the Roedenbecksteig?,['Plaetze'],['Roedenbecksteig']
Aggregation-count Query,Could you please inform me about the aggregate number of Flaechen in Berliner Dom?,['Flaechen'],['Berliner Dom']
Aggregation-count Query,List the total count of Landstrassen2 in Jungfernheide.,['Landstrassen2'],['Jungfernheide']
Aggregation-count Query,Provide the count of Sehenswuerdreg in Holländisches Viertel.,['Sehenswuerdreg'],['Holländisches Viertel']
Aggregation-count Query,Could you provide the quantity of Sehenswuerdreg in Fischtalpark?,['Sehenswuerdreg'],['Fischtalpark']
Aggregation-count Query,Could you provide the number of Kinos in Rathaus Schöneberg?,['Kinos'],['Rathaus Schöneberg']
Aggregation-count Query,Could you give me the total number of Landstrassen2 in Lietzenseepark?,['Landstrassen2'],['Lietzenseepark']
Aggregation-count Query,Provide the count of Sehenswuerdreg in Viktoriapark.,['Sehenswuerdreg'],['Viktoriapark']
Aggregation-count Query,How many Faehren flows through the Bernau?,['Faehren'],['Bernau']
Aggregation-count Query,Please advise me on the number of poi in Palast der Republik.,['poi'],['Palast der Republik']
Aggregation-count Query,Is there a way to ascertain the total number of Faehren in Grimnitzsee?,['Faehren'],['Grimnitzsee']
Aggregation-count Query,Can you furnish me with the aggregate count of Flaechen in Pergamonmuseum?,['Flaechen'],['Pergamonmuseum']
Aggregation-count Query,I would like to know the count of SBahn in Lessinghöhe.,['SBahn'],['Lessinghöhe']
Aggregation-count Query,Provide the count of WFlaechen in Ruinenberg.,['WFlaechen'],['Ruinenberg']
Aggregation-count Query,How many Flaechen pass by Dippmannsdorf?,['Flaechen'],['Dippmannsdorf']
Aggregation-count Query,What is the count of Sehenswuerdpoi2 in Lilienthalpark?,['Sehenswuerdpoi2'],['Lilienthalpark']
Aggregation-count Query,I am interested in the overall number of Faehren in Ruinenberg.,['Faehren'],['Ruinenberg']
Aggregation-count Query,Is it possible to obtain the overall count of Flaechen in Humboldt-Universität?,['Flaechen'],['Humboldt-Universität']
Aggregation-count Query,Could you provide the number of Orte2 in Max-Schmelling-Halle?,['Orte2'],['Max-Schmelling-Halle']
Aggregation-count Query,Can you inform me about the count of UBahn in each region of Flaechen?,"['UBahn', 'Flaechen']",[]
Aggregation-count Query,Provide the number of RBahn in Volkspark Anton Saefkow.,['RBahn'],['Volkspark Anton Saefkow']
Aggregation-count Query,Please advise me on the aggregate number of Sehenswuerdreg in Kleiner Tiergarten.,['Sehenswuerdreg'],['Kleiner Tiergarten']
Aggregation-count Query,What is the count of road in Pichelssee?,['road'],['Pichelssee']
Aggregation-count Query,What is the total number of Kinos in Kanzleramt?,['Kinos'],['Kanzleramt']
Aggregation-count Query,Could you inform me about the count of road in Flughafen Tempelhof?,['road'],['Flughafen Tempelhof']
Aggregation-count Query,I would like to know the number of Flaechen in Haus Bethanien.,['Flaechen'],['Haus Bethanien']
Aggregation-count Query,I would like to know the aggregate count of UBahnhof in Maselake.,['UBahnhof'],['Maselake']
Aggregation-count Query,Could you please provide the total number of Kneipen in Havel?,['Kneipen'],['Havel']
Aggregation-count Query,How many Flaechen pass by Ägyptisches Museum?,['Flaechen'],['Ägyptisches Museum']
Aggregation-count Query,How many PLZBoundaries runs through the Lichtenberg?,['PLZBoundaries'],['Lichtenberg']
Aggregation-count Query,Kindly provide me with the count of RBahn in Preußenpark.,['RBahn'],['Preußenpark']
Aggregation-count Query,Kindly inform me about the overall number of Flaechen in Butzer See.,['Flaechen'],['Butzer See']
Aggregation-count Query,How many WStrassen pass through Havel?,['WStrassen'],['Havel']
Aggregation-count Query,How many poi goes through the Oderberger Str.?,['poi'],['Oderberger Str.']
Aggregation-count Query,Kindly inform me about the overall number of Flaechen in Jungfernheide.,['Flaechen'],['Jungfernheide']
Aggregation-count Query,Could you please furnish me with the total count of Flaechen in Scharfe Lanke?,['Flaechen'],['Scharfe Lanke']
Aggregation-count Query,How many Restaurants pass through Altstädter Ring?,['Restaurants'],['Altstädter Ring']
Aggregation-count Query,How many UBahnhof on the Fritz-Schloß-Park?,['UBahnhof'],['Fritz-Schloß-Park']
Aggregation-count Query,Could you inform me about the number of RBahn in Schlachtensee?,['RBahn'],['Schlachtensee']
Aggregation-count Query,Can you provide the count of WFlaechen in Museum für Naturkunde?,['WFlaechen'],['Museum für Naturkunde']
Aggregation-count Query,How many Flaechen pass by Greenwichpromenade?,['Flaechen'],['Greenwichpromenade']
Aggregation-count Query,I am looking for the count of Landstrassen in Potsdamer Platz Arkaden.,['Landstrassen'],['Potsdamer Platz Arkaden']
Aggregation-count Query,How many Flaechen does the Pannierstr. go through?,['Flaechen'],['Pannierstr.']
Aggregation-count Query,How many Landstrassen pass through Zingst?,['Landstrassen'],['Zingst']
Aggregation-count Query,Could you furnish me with the aggregate number of strassen in Henry-Ford-Bau (FU Berlin)?,['strassen'],['Henry-Ford-Bau (FU Berlin)']
Aggregation-count Query,Is there a way to ascertain the total number of Flaechen in Schmöckwitzer Werder?,['Flaechen'],['Schmöckwitzer Werder']
Aggregation-count Query,Could you please provide me with the aggregate count of Kinos in Schloß Britz?,['Kinos'],['Schloß Britz']
Aggregation-count Query,Please advise me on the total count of Sehenswuerdreg in Sony.,['Sehenswuerdreg'],['Sony']
Aggregation-count Query,How many Flaechen does the (Insel im Habermannsee) run through?,['Flaechen'],['(Insel im Habermannsee)']
Aggregation-count Query,Can you provide the count of Flaechen in Maienwerder?,['Flaechen'],['Maienwerder']
Aggregation-count Query,Can you tell me the number of PLZBoundaries in Wuhlheide?,['PLZBoundaries'],['Wuhlheide']
Aggregation-count Query,Provide the count of Sehenswuerdreg in Bauhaus-Archiv.,['Sehenswuerdreg'],['Bauhaus-Archiv']
Aggregation-count Query,I would like to know the aggregate count of WFlaechen in Schloßpark Niederschönhausen.,['WFlaechen'],['Schloßpark Niederschönhausen']
Aggregation-count Query,"How many Restaurants pass by RE3,RB63?",['Restaurants'],"['RE3,RB63']"
Aggregation-count Query,I am interested in the overall number of strassen in Schloßpark Lichterfelde.,['strassen'],['Schloßpark Lichterfelde']
Aggregation-count Query,What is the number of SBahnhof in Rotes Rathaus?,['SBahnhof'],['Rotes Rathaus']
Aggregation-count Query,Provide the number of SBahnhof in Gosener Kanal.,['SBahnhof'],['Gosener Kanal']
Aggregation-count Query,How many OrteCity pass by Pl@net?,['OrteCity'],['Pl@net']
Aggregation-count Query,Can you inform me about the count of SBahn in each region of Flaechen?,"['SBahn', 'Flaechen']",[]
Aggregation-count Query,Can you inform me about the count of road in each region of WFlaechen?,"['road', 'WFlaechen']",[]
Aggregation-count Query,How many Sehenswuerdreg are there in Dahme?,['Sehenswuerdreg'],['Dahme']
Aggregation-count Query,Could you inform me about the count of WStrassen in Eisenbahn-Markthalle?,['WStrassen'],['Eisenbahn-Markthalle']
Aggregation-count Query,I am interested in knowing the overall number of Flaechen in Hufeisensiedlung.,['Flaechen'],['Hufeisensiedlung']
Aggregation-count Query,Count the number of Flaechen in Berliner Stadtforst Köpenick.,['Flaechen'],['Berliner Stadtforst Köpenick']
Aggregation-count Query,Can you tell me the count of Wasserumland2 in Gedenkstätte Deutscher Widerstand?,['Wasserumland2'],['Gedenkstätte Deutscher Widerstand']
Aggregation-count Query,Could you please furnish me with the total count of Sehenswuerdpoi2 in Amerika-Gedenkbibliothek?,['Sehenswuerdpoi2'],['Amerika-Gedenkbibliothek']
Aggregation-count Query,Provide the number of Flaechen in Schloßgarten Charlottenburg.,['Flaechen'],['Schloßgarten Charlottenburg']
Aggregation-count Query,How many Kneipen on the Teufelssee?,['Kneipen'],['Teufelssee']
Aggregation-count Query,Count the number of strassen in Schloß Köpenick.,['strassen'],['Schloß Köpenick']
Aggregation-count Query,Can you tell me the number of WFlaechen in St.-Josef-Krankenhaus?,['WFlaechen'],['St.-Josef-Krankenhaus']
Aggregation-count Query,Kindly inform me about the total number of PLZBoundaries in Große Krampe.,['PLZBoundaries'],['Große Krampe']
Aggregation-count Query,How many strassen pass through Trebbus?,['strassen'],['Trebbus']
Aggregation-count Query,How many Plaetze goes through the Goethepark?,['Plaetze'],['Goethepark']
Aggregation-count Query,How many OrteCity on the Knobelsdorffstr.?,['OrteCity'],['Knobelsdorffstr.']
Aggregation-count Query,Count the number of Sehenswuerdpoi2 in Landschaftspark Wuhletal.,['Sehenswuerdpoi2'],['Landschaftspark Wuhletal']
Aggregation-count Query,How many SBahnhof does the Wangnitzsee run through?,['SBahnhof'],['Wangnitzsee']
Aggregation-count Query,Can you inform me about the count of Sehenswuerdreg in each region of Flaechen?,"['Sehenswuerdreg', 'Flaechen']",[]
Aggregation-count Query,Please advise me on the aggregate number of UBahn in Museum für Naturkunde.,['UBahn'],['Museum für Naturkunde']
Aggregation-count Query,Kindly inform me about the overall number of Sehenswuerdreg in Baerwaldstr..,['Sehenswuerdreg'],['Baerwaldstr.']
Aggregation-count Query,How many SBahnhof pass through Der Faule See?,['SBahnhof'],['Der Faule See']
Aggregation-count Query,I am interested in the aggregate count of OrteCity in Franckepark.,['OrteCity'],['Franckepark']
Aggregation-count Query,Can you tell me the quantity of Flaechen in Der Weiße See?,['Flaechen'],['Der Weiße See']
Aggregation-count Query,What is the total number of Plaetze in Hubertussee?,['Plaetze'],['Hubertussee']
Aggregation-count Query,What is the number of PLZBoundaries in Landschaftspark Wuhletal?,['PLZBoundaries'],['Landschaftspark Wuhletal']
Aggregation-count Query,Please advise me on the count of Flaechen in Rudolph-Wilde-Park.,['Flaechen'],['Rudolph-Wilde-Park']
Aggregation-count Query,Could you please enumerate the number of Flaechen in Martin-Gropius-Bau?,['Flaechen'],['Martin-Gropius-Bau']
Aggregation-count Query,How many Landstrassen pass by B189?,['Landstrassen'],['B189']
Aggregation-count Query,What is the number of Flaechen in Märkisches Museum?,['Flaechen'],['Märkisches Museum']
Aggregation-count Query,How many Restaurants pass through Badesee Arkenberge?,['Restaurants'],['Badesee Arkenberge']
Aggregation-count Query,Could you tell me the total number of strassen in East-Side-Gallery?,['strassen'],['East-Side-Gallery']
Aggregation-count Query,Could you inform me about the total number of Restaurants in Kleiner Müggelsee?,['Restaurants'],['Kleiner Müggelsee']
Aggregation-count Query,List the total number of SBahn in Der Insulaner.,['SBahn'],['Der Insulaner']
Aggregation-count Query,Could you provide the number of Flaechen in Gemeindepark Lankwitz?,['Flaechen'],['Gemeindepark Lankwitz']
Aggregation-count Query,Kindly inform me about the aggregate count of poi in Südhafen.,['poi'],['Südhafen']
Aggregation-count Query,Is it possible to obtain the overall count of Flaechen in Hochmeisterplatz?,['Flaechen'],['Hochmeisterplatz']
Aggregation-count Query,Kindly inform me about the overall number of Flaechen in Großer Wannsee.,['Flaechen'],['Großer Wannsee']
Aggregation-count Query,Can you furnish me with the aggregate count of strassen in Alter Spreearm?,['strassen'],['Alter Spreearm']
Aggregation-count Query,I am looking for the overall number of Sehenswuerdreg in Planetarium.,['Sehenswuerdreg'],['Planetarium']
Aggregation-count Query,Can you provide the number of WFlaechen in Europa-Center?,['WFlaechen'],['Europa-Center']
Aggregation-count Query,How many Sehenswuerdreg pass by U4?,['Sehenswuerdreg'],['U4']
Aggregation-count Query,How many Landstrassen on the Allee St. Exupéry?,['Landstrassen'],['Allee St. Exupéry']
Aggregation-count Query,What is the tally of Plaetze in Staatsbibliothek?,['Plaetze'],['Staatsbibliothek']
Aggregation-count Query,Calculate the number of line in strassen.,['strassen'],[]
Aggregation-count Query,Could you provide the count of strassen in Ägyptisches Museum?,['strassen'],['Ägyptisches Museum']
Aggregation-count Query,Could you inform me about the quantity of WStrassen in Velodrom (Berlin Arena)?,['WStrassen'],['Velodrom (Berlin Arena)']
Aggregation-count Query,Can you provide the number of Landstrassen2 in Körnerpark?,['Landstrassen2'],['Körnerpark']
Aggregation-count Query,Is it possible to obtain the count of Landstrassen in Zeughaus?,['Landstrassen'],['Zeughaus']
Aggregation-count Query,Kindly inform me about the total number of Kneipen in Waldbühne.,['Kneipen'],['Waldbühne']
Aggregation-count Query,Could you please furnish me with the total count of Sehenswuerdpoi2 in Zitadelle?,['Sehenswuerdpoi2'],['Zitadelle']
Aggregation-count Query,Can you inform me about the count of UBahn in each region of Sehenswuerdreg?,"['UBahn', 'Sehenswuerdreg']",[]
Aggregation-count Query,Is it possible to obtain the overall count of Sehenswuerdreg in Eissporthalle?,['Sehenswuerdreg'],['Eissporthalle']
Aggregation-count Query,Could you provide the total number of Sehenswuerdpoi2 in Park Babelsberg?,['Sehenswuerdpoi2'],['Park Babelsberg']
Aggregation-count Query,Can you provide the number of Sehenswuerdreg in Karpfenteich?,['Sehenswuerdreg'],['Karpfenteich']
Aggregation-count Query,What is the tally of Flaechen in Schloßpark Lichterfelde?,['Flaechen'],['Schloßpark Lichterfelde']
Aggregation-count Query,Could you inform me about the total number of WFlaechen in Luisenhain?,['WFlaechen'],['Luisenhain']
Aggregation-count Query,Could you please tell me the count of Flaechen in Volkspark Wilmersdorf?,['Flaechen'],['Volkspark Wilmersdorf']
Aggregation-count Query,Can you provide the count of PLZBoundaries in Westhafen?,['PLZBoundaries'],['Westhafen']
Aggregation-count Query,Could you please provide me with the aggregate count of Sehenswuerdreg in Buga-Gelände?,['Sehenswuerdreg'],['Buga-Gelände']
Aggregation-count Query,Could you give me the total number of Faehren in Ziegeleisee?,['Faehren'],['Ziegeleisee']
Aggregation-count Query,Could you give me the total number of Orte2 in Deutsches Theater?,['Orte2'],['Deutsches Theater']
Aggregation-count Query,What is the count of Kneipen in Monbijoupark?,['Kneipen'],['Monbijoupark']
